,id,sentence1,sentence2,is_duplicate
0,0,"Sgt. Ernest Bucklew, 33, was coming home from Iraq to bury his mother in Pennsylvania.","Coming home to put his mother to rest in Pennsylvania, Sgt. Ernest Bucklew came home from Iraq.",0
1,1,"Sgt. Ernest Bucklew, 33, was coming home from Iraq to bury his mother in Pennsylvania.","Coming home to put his mother to rest in Pennsylvania, Sgt. Ernest Bucklew returned from Iraq.",0
2,2,"Sgt. Ernest Bucklew, 33, was coming home from Iraq to bury his mother in Pennsylvania.","to put his mother to rest in Pennsylvania, Sgt. Ernest Bucklew returned from Iraq.",0
3,3,"Sgt. Ernest Bucklew, 33, was coming home from Iraq to bury his mother in Pennsylvania.","Putting his mother to rest in Pennsylvania, Sgt. Ernest Bucklew returned from Iraq.",0
4,4,"Sgt. Ernest Bucklew, 33, was coming home from Iraq to bury his mother in Pennsylvania.","Putting his mother to rest in Pennsylvania, Sgt. Ernest Bucklew returned from Iraq at age 33",1
5,5,"Sgt. Ernest Bucklew, 33, was coming home from Iraq to bury his mother in Pennsylvania.","Putting his mother to rest in Pennsylvania, Sgt. Ernest Bucklew returned from Iraq at the age of 33",1
6,6,"Sgt. Ernest Bucklew, 33, was coming home from Iraq to bury his mother in Pennsylvania.","Putting his mother to rest in Pennsylvania, Sgt. Ernest Bucklew returned from Iraq at the age 33",1
7,7,"So, can we please get out of here?",So is it alright if we leave here?,1
8,8,"So, can we please get out of here?",So is it alright if we leave here,1
9,9,"So, can we please get out of here?",So is it okay if we please leave here,1
10,10,"So, can we please get out of here?",So is it okay if we please go,1
11,11,"So, can we please get out of here?",So is it okay if we please go from here,1
12,12,"So, can we please get out of here?",So is it okay if we please go,1
13,13,"Financial terms of the deal, expected to close this month, were not released.",The deals financial terms of agreement were not released,0
14,14,"Financial terms of the deal, expected to close this month, were not released.",The deals financial agreement were not released,0
15,15,"Financial terms of the deal, expected to close this month, were not released.",The pending deals financial agreement were not released,0
16,16,Palm Beach County is considering adding up to $200 million more in incentives.,"Additional incentives, with a maximum of $200 million, may be added by Palm Beach County.",1
